Africa/Johannesburg,Open,High,Low,Close,Volume
2026-06-24T00:00:00+02:00,4112.250,4114.169,4110.783,4111.513,335
2026-06-24T00:05:00+02:00,4111.730,4114.019,4110.961,4112.331,361
2026-06-24T00:10:00+02:00,4112.621,4114.007,4112.061,4113.726,227
2026-06-24T00:15:00+02:00,4113.670,4115.130,4110.947,4111.114,514
2026-06-24T00:20:00+02:00,4111.433,4111.940,4105.092,4106.341,762
2026-06-24T00:25:00+02:00,4106.276,4110.855,4104.485,4106.033,838
2026-06-24T00:30:00+02:00,4105.878,4108.408,4096.829,4098.770,753
2026-06-24T00:35:00+02:00,4098.844,4102.986,4098.773,4100.719,1016
2026-06-24T00:40:00+02:00,4101.048,4104.411,4099.712,4104.166,851
2026-06-24T00:45:00+02:00,4104.081,4108.166,4103.825,4105.772,714
2026-06-24T00:50:00+02:00,4105.823,4109.139,4105.823,4106.359,606
2026-06-24T00:55:00+02:00,4106.307,4107.261,4103.640,4104.397,653
2026-06-24T01:00:00+02:00,4104.073,4104.462,4099.034,4100.229,617
2026-06-24T01:05:00+02:00,4100.230,4100.230,4094.923,4096.844,1006
2026-06-24T01:10:00+02:00,4096.527,4101.654,4096.277,4099.765,740
2026-06-24T01:15:00+02:00,4099.546,4100.744,4097.265,4100.182,592
2026-06-24T01:20:00+02:00,4100.104,4100.176,4098.333,4099.392,419
2026-06-24T01:25:00+02:00,4099.226,4099.788,4097.355,4097.682,413
2026-06-24T01:30:00+02:00,4097.515,4098.262,4093.662,4094.870,739
2026-06-24T01:35:00+02:00,4094.890,4095.424,4080.848,4084.013,1296
2026-06-24T01:40:00+02:00,4084.088,4087.168,4080.827,4086.204,1607
2026-06-24T01:45:00+02:00,4086.254,4097.580,4085.914,4095.538,1715
2026-06-24T01:50:00+02:00,4095.609,4099.938,4094.306,4096.053,1054
2026-06-24T01:55:00+02:00,4096.003,4100.420,4096.003,4099.048,732
2026-06-24T02:00:00+02:00,4098.986,4105.289,4094.456,4102.351,3068
2026-06-24T02:05:00+02:00,4102.406,4111.928,4100.803,4110.169,2777
2026-06-24T02:10:00+02:00,4110.219,4111.516,4104.805,4107.398,2082
2026-06-24T02:15:00+02:00,4107.330,4109.718,4103.238,4103.969,2077
2026-06-24T02:20:00+02:00,4103.924,4104.835,4096.304,4096.362,1662
2026-06-24T02:25:00+02:00,4096.476,4100.164,4093.627,4099.604,1830
2026-06-24T02:30:00+02:00,4099.678,4100.456,4094.514,4096.994,1591
2026-06-24T02:35:00+02:00,4096.827,4098.211,4094.356,4097.016,1303
2026-06-24T02:40:00+02:00,4096.680,4096.976,4093.658,4095.211,1259
2026-06-24T02:45:00+02:00,4095.330,4100.007,4094.619,4098.562,1647
2026-06-24T02:50:00+02:00,4098.430,4099.850,4094.396,4095.851,1501
2026-06-24T02:55:00+02:00,4095.788,4098.895,4094.397,4097.068,1457
2026-06-24T03:00:00+02:00,4097.125,4097.978,4069.172,4073.696,5897
2026-06-24T03:05:00+02:00,4073.371,4083.018,4068.184,4077.256,4615
2026-06-24T03:10:00+02:00,4077.311,4091.719,4077.109,4089.484,3589
2026-06-24T03:15:00+02:00,4089.545,4090.854,4084.788,4088.236,2672
2026-06-24T03:20:00+02:00,4088.185,4090.231,4083.441,4088.134,2523
2026-06-24T03:25:00+02:00,4088.200,4101.081,4088.200,4098.426,3540
2026-06-24T03:30:00+02:00,4098.366,4102.256,4093.585,4098.062,3546
2026-06-24T03:35:00+02:00,4098.113,4099.141,4092.640,4094.979,2559
2026-06-24T03:40:00+02:00,4095.239,4098.762,4091.786,4092.856,2538
2026-06-24T03:45:00+02:00,4092.720,4093.208,4085.937,4086.078,2379
2026-06-24T03:50:00+02:00,4086.028,4087.938,4082.287,4085.664,2198
2026-06-24T03:55:00+02:00,4085.611,4090.249,4084.476,4088.965,1773
2026-06-24T04:00:00+02:00,4088.984,4096.065,4086.205,4087.547,2460
2026-06-24T04:05:00+02:00,4087.330,4087.790,4080.001,4081.218,1839
2026-06-24T04:10:00+02:00,4081.168,4084.443,4079.841,4080.164,1426
2026-06-24T04:15:00+02:00,4080.104,4081.173,4073.112,4074.438,1489
2026-06-24T04:20:00+02:00,4074.487,4076.525,4072.790,4075.919,1233
2026-06-24T04:25:00+02:00,4075.978,4076.780,4071.224,4073.751,1394
2026-06-24T04:30:00+02:00,4073.608,4076.691,4063.332,4068.942,2936
2026-06-24T04:35:00+02:00,4068.812,4070.887,4059.605,4060.825,2398
2026-06-24T04:40:00+02:00,4060.834,4062.113,4051.959,4057.454,2118
2026-06-24T04:45:00+02:00,4057.314,4061.503,4054.932,4058.760,1829
2026-06-24T04:50:00+02:00,4058.814,4065.416,4056.585,4065.029,1829
2026-06-24T04:55:00+02:00,4064.972,4069.449,4060.989,4061.252,1766
2026-06-24T05:00:00+02:00,4061.199,4065.383,4055.992,4056.168,2082
2026-06-24T05:05:00+02:00,4056.221,4059.062,4052.617,4058.311,1915
2026-06-24T05:10:00+02:00,4058.643,4060.673,4056.445,4057.807,1814
2026-06-24T05:15:00+02:00,4057.742,4058.999,4050.199,4052.854,1915
2026-06-24T05:20:00+02:00,4052.802,4056.516,4051.564,4052.917,1700
2026-06-24T05:25:00+02:00,4053.215,4057.108,4051.452,4056.390,1996
2026-06-24T05:30:00+02:00,4056.444,4060.704,4055.472,4060.140,1993
2026-06-24T05:35:00+02:00,4060.193,4062.516,4059.628,4062.170,1470
2026-06-24T05:40:00+02:00,4061.934,4069.866,4061.270,4068.379,1662
2026-06-24T05:45:00+02:00,4068.462,4070.744,4064.145,4066.630,1357
2026-06-24T05:50:00+02:00,4066.676,4068.229,4062.447,4063.517,1042
2026-06-24T05:55:00+02:00,4063.498,4063.753,4061.845,4062.811,840
2026-06-24T06:00:00+02:00,4062.872,4064.024,4058.353,4059.056,1279
2026-06-24T06:05:00+02:00,4059.093,4061.289,4056.203,4058.615,1477
2026-06-24T06:10:00+02:00,4058.559,4059.139,4055.675,4058.722,1032
2026-06-24T06:15:00+02:00,4058.670,4060.245,4054.907,4055.742,1288
2026-06-24T06:20:00+02:00,4055.688,4062.946,4055.051,4060.965,1337
2026-06-24T06:25:00+02:00,4061.269,4067.282,4061.026,4063.338,1174
2026-06-24T06:30:00+02:00,4063.358,4065.985,4063.260,4065.048,975
2026-06-24T06:35:00+02:00,4065.021,4066.403,4062.532,4064.982,1052
2026-06-24T06:40:00+02:00,4064.877,4066.676,4063.151,4063.751,940
2026-06-24T06:45:00+02:00,4063.751,4066.070,4062.264,4063.346,833
2026-06-24T06:50:00+02:00,4063.397,4064.055,4061.980,4063.448,837
2026-06-24T06:55:00+02:00,4063.233,4067.023,4062.621,4064.569,943
2026-06-24T07:00:00+02:00,4064.513,4065.155,4061.185,4061.827,1074
2026-06-24T07:05:00+02:00,4062.069,4070.235,4060.926,4069.321,1146
2026-06-24T07:10:00+02:00,4069.321,4069.867,4066.112,4067.557,1287
2026-06-24T07:15:00+02:00,4067.503,4068.858,4065.425,4065.662,1170
2026-06-24T07:20:00+02:00,4065.714,4072.745,4065.714,4070.716,1301
2026-06-24T07:25:00+02:00,4070.722,4074.331,4070.127,4073.548,1132
2026-06-24T07:30:00+02:00,4073.316,4086.272,4072.406,4081.970,2883
2026-06-24T07:35:00+02:00,4082.039,4082.424,4075.960,4077.468,1475
2026-06-24T07:40:00+02:00,4077.418,4077.546,4072.126,4077.072,1287
2026-06-24T07:45:00+02:00,4077.142,4079.918,4073.812,4074.889,1311
2026-06-24T07:50:00+02:00,4074.823,4076.143,4071.280,4073.243,1370
2026-06-24T07:55:00+02:00,4073.186,4077.064,4072.528,4075.739,1212
2026-06-24T08:00:00+02:00,4075.943,4081.149,4075.716,4077.908,2165
2026-06-24T08:05:00+02:00,4077.745,4091.912,4077.349,4090.357,2285
2026-06-24T08:10:00+02:00,4090.304,4097.299,4088.794,4095.789,2405
2026-06-24T08:15:00+02:00,4095.846,4097.604,4085.026,4087.295,2242
2026-06-24T08:20:00+02:00,4087.085,4089.598,4085.399,4088.793,1455
2026-06-24T08:25:00+02:00,4088.742,4090.690,4083.308,4087.373,1689
2026-06-24T08:30:00+02:00,4087.428,4088.119,4084.611,4087.602,1424
2026-06-24T08:35:00+02:00,4087.636,4091.941,4087.573,4089.009,1333
2026-06-24T08:40:00+02:00,4088.938,4093.787,4088.871,4091.912,1352
2026-06-24T08:45:00+02:00,4091.997,4094.625,4088.880,4089.084,1439
2026-06-24T08:50:00+02:00,4089.164,4091.516,4084.523,4089.403,1290
2026-06-24T08:55:00+02:00,4089.475,4090.757,4084.314,4086.977,1051
2026-06-24T09:00:00+02:00,4086.905,4089.709,4085.168,4089.045,1622
2026-06-24T09:05:00+02:00,4088.710,4090.903,4086.902,4088.283,1124
2026-06-24T09:10:00+02:00,4088.500,4089.135,4086.033,4086.238,923
2026-06-24T09:15:00+02:00,4086.250,4087.698,4084.520,4086.063,966
