Africa/Johannesburg,Open,High,Low,Close,Volume
2026-09-06T23:05:00+02:00,0.7197,0.7197,0.7197,0.7197,1
2026-09-06T23:06:00+02:00,0.7197,0.7197,0.7197,0.7197,1
2026-09-06T23:07:00+02:00,0.71967,0.71967,0.71967,0.71967,1
2026-09-06T23:08:00+02:00,0.71967,0.71967,0.71967,0.71967,1
2026-09-06T23:09:00+02:00,0.71967,0.71967,0.71967,0.71967,1
2026-09-06T23:10:00+02:00,0.71967,0.71967,0.71964,0.71965,3
2026-09-06T23:11:00+02:00,0.71964,0.71965,0.71962,0.71965,5
2026-09-06T23:12:00+02:00,0.71967,0.71967,0.71967,0.71967,1
2026-09-06T23:13:00+02:00,0.71967,0.71968,0.71967,0.71968,2
2026-09-06T23:14:00+02:00,0.71968,0.71968,0.71968,0.71968,1
2026-09-06T23:15:00+02:00,0.71964,0.71965,0.71957,0.71965,11
2026-09-06T23:16:00+02:00,0.71966,0.71968,0.71966,0.71968,3
2026-09-06T23:17:00+02:00,0.71968,0.71968,0.71967,0.71967,2
2026-09-06T23:18:00+02:00,0.71967,0.71967,0.71967,0.71967,1
2026-09-06T23:19:00+02:00,0.71968,0.71968,0.71966,0.71966,2
2026-09-06T23:20:00+02:00,0.71967,0.71968,0.71967,0.71968,2
2026-09-06T23:21:00+02:00,0.71969,0.71969,0.71965,0.71967,4
2026-09-06T23:22:00+02:00,0.71967,0.71967,0.71967,0.71967,1
2026-09-06T23:23:00+02:00,0.71968,0.71969,0.71968,0.71968,3
2026-09-06T23:24:00+02:00,0.71969,0.7197,0.71946,0.71946,16
2026-09-06T23:25:00+02:00,0.71945,0.71961,0.71905,0.71961,12
2026-09-06T23:26:00+02:00,0.71961,0.71964,0.7196,0.71964,7
2026-09-06T23:27:00+02:00,0.71964,0.71965,0.7196,0.71963,5
2026-09-06T23:28:00+02:00,0.71963,0.71968,0.71963,0.71968,8
2026-09-06T23:29:00+02:00,0.71968,0.71969,0.71963,0.71963,6
2026-09-06T23:30:00+02:00,0.71964,0.71967,0.71963,0.71967,7
2026-09-06T23:31:00+02:00,0.71967,0.7197,0.71967,0.7197,6
2026-09-06T23:32:00+02:00,0.7197,0.71976,0.7197,0.71976,6
2026-09-06T23:33:00+02:00,0.71976,0.71976,0.71974,0.71975,5
2026-09-06T23:34:00+02:00,0.71976,0.71978,0.71976,0.71978,3
2026-09-06T23:35:00+02:00,0.71978,0.71978,0.71978,0.71978,1
2026-09-06T23:36:00+02:00,0.71978,0.71979,0.71978,0.71979,2
2026-09-06T23:37:00+02:00,0.71979,0.71979,0.71979,0.71979,1
2026-09-06T23:38:00+02:00,0.7198,0.7198,0.7198,0.7198,1
2026-09-06T23:39:00+02:00,0.7198,0.71981,0.7198,0.71981,2
2026-09-06T23:40:00+02:00,0.71981,0.71981,0.71973,0.71974,4
2026-09-06T23:41:00+02:00,0.71974,0.71977,0.71974,0.71977,4
2026-09-06T23:42:00+02:00,0.71977,0.71983,0.71977,0.71983,3
2026-09-06T23:43:00+02:00,0.71983,0.71985,0.71983,0.71985,5
2026-09-06T23:44:00+02:00,0.71985,0.71987,0.71985,0.71987,3
2026-09-06T23:45:00+02:00,0.71987,0.71987,0.71985,0.71986,4
2026-09-06T23:46:00+02:00,0.71985,0.71987,0.71985,0.71987,3
2026-09-06T23:47:00+02:00,0.71987,0.71987,0.71986,0.71987,3
2026-09-06T23:48:00+02:00,0.71988,0.71988,0.71987,0.71987,2
2026-09-06T23:49:00+02:00,0.71987,0.71987,0.71982,0.71982,6
2026-09-06T23:50:00+02:00,0.71982,0.71985,0.71982,0.71985,6
2026-09-06T23:51:00+02:00,0.71985,0.71986,0.71983,0.71986,7
2026-09-06T23:52:00+02:00,0.71986,0.71989,0.71986,0.71988,7
2026-09-06T23:53:00+02:00,0.71988,0.71989,0.71987,0.71989,7
2026-09-06T23:54:00+02:00,0.7199,0.71992,0.7199,0.71992,5
2026-09-06T23:55:00+02:00,0.71992,0.71992,0.71988,0.7199,7
2026-09-06T23:56:00+02:00,0.71989,0.71991,0.71989,0.71991,5
2026-09-06T23:57:00+02:00,0.71991,0.71993,0.71991,0.71993,3
2026-09-06T23:58:00+02:00,0.71993,0.71994,0.71992,0.71992,3
2026-09-06T23:59:00+02:00,0.71991,0.71999,0.71991,0.71997,16
