Africa/Johannesburg,Open,High,Low,Close,Volume
2026-09-17T00:00:00+02:00,75911.1,75926.41,75592.97,75816.4,1416
2026-09-17T00:15:00+02:00,75816.4,75875.47,75615.66,75682.5,966
2026-09-17T00:30:00+02:00,75682.53,75755.68,75587.41,75748.74,965
2026-09-17T00:45:00+02:00,75748.77,75764.73,75572.1,75620.43,925
2026-09-17T01:00:00+02:00,75620.28,75792.54,75570.66,75783.35,1098
2026-09-17T01:15:00+02:00,75783.8,76087.32,75772.22,76015.83,1308
2026-09-17T01:30:00+02:00,76015.09,76164.63,75995.07,76150.46,1139
2026-09-17T01:45:00+02:00,76150.59,76215.12,76082.58,76142.04,1118
2026-09-17T02:00:00+02:00,76142.81,76385.97,76107.8,76269.11,1241
2026-09-17T02:15:00+02:00,76269.03,76429.01,76246.8,76337.93,1314
2026-09-17T02:30:00+02:00,76340.42,76437.87,76295.33,76358.46,1239
2026-09-17T02:45:00+02:00,76358.47,76393.05,76259.24,76263.99,1058
2026-09-17T03:00:00+02:00,76264.71,76300.13,76146.06,76236.53,1093
2026-09-17T03:15:00+02:00,76240.07,76594.86,76149.01,76569.24,1512
2026-09-17T03:30:00+02:00,76552.68,76712.89,76432.05,76526.58,1612
2026-09-17T03:45:00+02:00,76526.58,76526.58,76256.89,76305.67,1106
2026-09-17T04:00:00+02:00,76306.21,76327.64,76031.54,76154.37,1214
2026-09-17T04:15:00+02:00,76145.35,76146.04,75974.85,76115.73,1143
2026-09-17T04:30:00+02:00,76118.06,76380.64,76082.57,76343.1,1194
2026-09-17T04:45:00+02:00,76341.86,76418.41,76250.83,76304.96,1119
2026-09-17T05:00:00+02:00,76303.66,76434.51,76297.26,76360.7,1075
2026-09-17T05:15:00+02:00,76360.7,76457.48,76333.62,76416.13,997
2026-09-17T05:30:00+02:00,76416.13,76460.56,76354.84,76406.76,1003
2026-09-17T05:45:00+02:00,76407.56,76431.04,76323.79,76362.84,949
2026-09-17T06:00:00+02:00,76363.01,76365.69,76214.24,76238.88,935
2026-09-17T06:15:00+02:00,76237.94,76255.27,76107.03,76127.45,919
2026-09-17T06:30:00+02:00,76127.11,76311.1,76098.92,76285.3,1087
2026-09-17T06:45:00+02:00,76281.56,76515.2,76249.82,76460.07,1071
2026-09-17T07:00:00+02:00,76460.65,76555.28,76430.89,76461.49,318
