Africa/Johannesburg,Open,High,Low,Close,Volume
2026-07-22T00:00:00+02:00,0.58258,0.58266,0.58249,0.58256,121
2026-07-22T00:15:00+02:00,0.58256,0.58261,0.58253,0.5826,50
2026-07-22T00:30:00+02:00,0.5826,0.58265,0.58255,0.5826,56
2026-07-22T00:45:00+02:00,0.5826,0.5826,0.58235,0.58236,68
2026-07-22T01:00:00+02:00,0.58236,0.58253,0.58231,0.58244,102
2026-07-22T01:15:00+02:00,0.58244,0.58256,0.5823,0.5823,85
2026-07-22T01:30:00+02:00,0.5823,0.58241,0.5823,0.58234,77
2026-07-22T01:45:00+02:00,0.58234,0.58255,0.58234,0.58246,96
2026-07-22T02:00:00+02:00,0.58246,0.58254,0.5822,0.58249,283
2026-07-22T02:15:00+02:00,0.58249,0.583,0.58248,0.583,260
2026-07-22T02:30:00+02:00,0.583,0.58304,0.58254,0.58258,240
2026-07-22T02:45:00+02:00,0.58258,0.58315,0.5825,0.58314,249
2026-07-22T03:00:00+02:00,0.58314,0.5833,0.5829,0.58295,236
2026-07-22T03:15:00+02:00,0.58295,0.58298,0.58257,0.58271,233
2026-07-22T03:30:00+02:00,0.58271,0.58271,0.58245,0.58254,249
2026-07-22T03:45:00+02:00,0.58254,0.58301,0.58253,0.58297,200
2026-07-22T04:00:00+02:00,0.58299,0.58301,0.58259,0.58287,194
2026-07-22T04:15:00+02:00,0.58287,0.58316,0.58276,0.58303,190
2026-07-22T04:30:00+02:00,0.58303,0.58309,0.58266,0.58277,244
2026-07-22T04:45:00+02:00,0.58277,0.5829,0.58266,0.58269,192
2026-07-22T05:00:00+02:00,0.58269,0.58275,0.58234,0.58247,221
2026-07-22T05:15:00+02:00,0.58247,0.58292,0.58247,0.58289,190
2026-07-22T05:30:00+02:00,0.58289,0.58292,0.58254,0.58256,200
2026-07-22T05:45:00+02:00,0.58256,0.58271,0.58254,0.58269,156
2026-07-22T06:00:00+02:00,0.58269,0.58273,0.58232,0.58233,215
2026-07-22T06:15:00+02:00,0.58233,0.58253,0.58232,0.58252,149
2026-07-22T06:30:00+02:00,0.58252,0.58264,0.58243,0.58263,151
2026-07-22T06:45:00+02:00,0.58262,0.58262,0.58246,0.58256,113
2026-07-22T07:00:00+02:00,0.58257,0.58267,0.58248,0.58254,162
2026-07-22T07:15:00+02:00,0.58254,0.58264,0.58232,0.58233,155
2026-07-22T07:30:00+02:00,0.58233,0.58238,0.5821,0.58221,201
