Africa/Johannesburg,Open,High,Low,Close,Volume
2026-09-18T00:00:00+02:00,1.39912,1.39912,1.3988399999999999,1.39896,53
2026-09-18T00:05:00+02:00,1.39896,1.39898,1.3989099999999999,1.39892,23
2026-09-18T00:10:00+02:00,1.39892,1.39897,1.39885,1.39896,25
2026-09-18T00:15:00+02:00,1.39896,1.39898,1.39892,1.39898,21
2026-09-18T00:20:00+02:00,1.39898,1.399,1.39893,1.39898,16
2026-09-18T00:25:00+02:00,1.39898,1.39899,1.39894,1.39894,8
2026-09-18T00:30:00+02:00,1.39894,1.3989500000000001,1.39889,1.39889,21
2026-09-18T00:35:00+02:00,1.39889,1.39892,1.3988800000000001,1.39889,18
2026-09-18T00:40:00+02:00,1.39889,1.3989099999999999,1.3988800000000001,1.3989,14
2026-09-18T00:45:00+02:00,1.3989,1.39898,1.3989,1.3989099999999999,16
2026-09-18T00:50:00+02:00,1.3989,1.399,1.3989,1.399,15
2026-09-18T00:55:00+02:00,1.399,1.399,1.39894,1.399,15
2026-09-18T01:00:00+02:00,1.39902,1.39902,1.39894,1.39896,26
2026-09-18T01:05:00+02:00,1.39896,1.39896,1.39881,1.39881,27
2026-09-18T01:10:00+02:00,1.39881,1.3988399999999999,1.3988,1.3988,16
2026-09-18T01:15:00+02:00,1.3988,1.39892,1.3988,1.3989099999999999,21
2026-09-18T01:20:00+02:00,1.3989099999999999,1.39896,1.39889,1.3989099999999999,20
2026-09-18T01:25:00+02:00,1.3989099999999999,1.399,1.3989099999999999,1.399,14
2026-09-18T01:30:00+02:00,1.399,1.39909,1.399,1.399,17
2026-09-18T01:35:00+02:00,1.399,1.39909,1.39894,1.39897,41
2026-09-18T01:40:00+02:00,1.39897,1.399,1.39893,1.39899,31
2026-09-18T01:45:00+02:00,1.39899,1.399,1.39889,1.3989099999999999,25
2026-09-18T01:50:00+02:00,1.3989099999999999,1.399,1.3988800000000001,1.3989,34
2026-09-18T01:55:00+02:00,1.3989,1.39909,1.3989,1.39902,39
2026-09-18T02:00:00+02:00,1.39901,1.39912,1.39897,1.39908,79
2026-09-18T02:05:00+02:00,1.39908,1.3991799999999999,1.39902,1.39902,83
2026-09-18T02:10:00+02:00,1.39902,1.3992,1.39902,1.39919,83
2026-09-18T02:15:00+02:00,1.39919,1.39929,1.39908,1.39908,59
2026-09-18T02:20:00+02:00,1.39908,1.3992200000000001,1.399,1.39902,70
2026-09-18T02:25:00+02:00,1.39902,1.3991500000000001,1.39902,1.39911,65
2026-09-18T02:30:00+02:00,1.39911,1.39913,1.399,1.39902,55
2026-09-18T02:35:00+02:00,1.39902,1.39907,1.39899,1.39902,56
2026-09-18T02:40:00+02:00,1.39902,1.39908,1.39898,1.39902,53
2026-09-18T02:45:00+02:00,1.39902,1.3991,1.39899,1.39901,53
2026-09-18T02:50:00+02:00,1.39901,1.39903,1.3988800000000001,1.3989,83
2026-09-18T02:55:00+02:00,1.39892,1.39896,1.3988,1.39882,93
2026-09-18T03:00:00+02:00,1.39882,1.39886,1.3986,1.39875,101
2026-09-18T03:05:00+02:00,1.39875,1.39881,1.39871,1.3988,71
2026-09-18T03:10:00+02:00,1.39881,1.3989099999999999,1.3988,1.3988399999999999,67
2026-09-18T03:15:00+02:00,1.3988399999999999,1.39885,1.3987,1.3988,73
2026-09-18T03:20:00+02:00,1.3988,1.39881,1.39852,1.39852,49
2026-09-18T03:25:00+02:00,1.39853,1.3987,1.39851,1.39867,47
2026-09-18T03:30:00+02:00,1.39868,1.39901,1.39863,1.39887,86
2026-09-18T03:35:00+02:00,1.39889,1.39892,1.39871,1.3989099999999999,73
2026-09-18T03:40:00+02:00,1.39893,1.39894,1.39872,1.39882,75
2026-09-18T03:45:00+02:00,1.39882,1.3989099999999999,1.3987,1.39871,69
2026-09-18T03:50:00+02:00,1.39871,1.39882,1.39867,1.3987,70
2026-09-18T03:55:00+02:00,1.39872,1.39873,1.39852,1.39852,61
2026-09-18T04:00:00+02:00,1.39852,1.3987,1.39851,1.3987,52
2026-09-18T04:05:00+02:00,1.3987,1.39871,1.3986,1.39871,51
2026-09-18T04:10:00+02:00,1.39871,1.39881,1.39868,1.39875,59
2026-09-18T04:15:00+02:00,1.39875,1.39882,1.39872,1.3988,56
2026-09-18T04:20:00+02:00,1.3988,1.39881,1.3987,1.39875,63
2026-09-18T04:25:00+02:00,1.39875,1.39875,1.3986100000000001,1.39862,53
2026-09-18T04:30:00+02:00,1.3986399999999999,1.39869,1.3986,1.39863,48
2026-09-18T04:35:00+02:00,1.39863,1.39865,1.3986,1.3986,41
2026-09-18T04:40:00+02:00,1.3986,1.39866,1.39858,1.39866,50
2026-09-18T04:45:00+02:00,1.39867,1.39867,1.39853,1.3986100000000001,63
2026-09-18T04:50:00+02:00,1.3986100000000001,1.39867,1.39851,1.39867,73
2026-09-18T04:55:00+02:00,1.39867,1.3988,1.39835,1.39835,125
2026-09-18T05:00:00+02:00,1.39835,1.39849,1.39825,1.3982700000000001,94
2026-09-18T05:05:00+02:00,1.3982700000000001,1.39837,1.39813,1.39828,93
2026-09-18T05:10:00+02:00,1.3982700000000001,1.3983400000000001,1.39814,1.39825,78
2026-09-18T05:15:00+02:00,1.39825,1.39833,1.3982299999999999,1.39832,58
2026-09-18T05:20:00+02:00,1.39832,1.39845,1.39824,1.39843,68
2026-09-18T05:25:00+02:00,1.39843,1.39844,1.3983400000000001,1.39835,58
2026-09-18T05:30:00+02:00,1.3983400000000001,1.39839,1.3982299999999999,1.3982299999999999,44
2026-09-18T05:35:00+02:00,1.3982299999999999,1.39845,1.3982299999999999,1.3983400000000001,65
2026-09-18T05:40:00+02:00,1.3983400000000001,1.3983400000000001,1.39798,1.3980000000000001,77
2026-09-18T05:45:00+02:00,1.39799,1.39807,1.3979599999999999,1.3980299999999999,82
2026-09-18T05:50:00+02:00,1.3980299999999999,1.39807,1.3979300000000001,1.3979300000000001,63
2026-09-18T05:55:00+02:00,1.3979300000000001,1.39795,1.39786,1.39787,42
2026-09-18T06:00:00+02:00,1.39787,1.39787,1.3976199999999999,1.39764,83
2026-09-18T06:05:00+02:00,1.3976199999999999,1.3976899999999999,1.39759,1.39763,58
2026-09-18T06:10:00+02:00,1.39763,1.3977,1.39761,1.39765,47
2026-09-18T06:15:00+02:00,1.39765,1.39777,1.3976199999999999,1.39776,65
2026-09-18T06:20:00+02:00,1.39776,1.39788,1.3976,1.3976199999999999,64
2026-09-18T06:25:00+02:00,1.3976199999999999,1.39781,1.39756,1.39779,48
2026-09-18T06:30:00+02:00,1.39777,1.39791,1.39777,1.39789,45
2026-09-18T06:35:00+02:00,1.39789,1.39799,1.39789,1.39795,60
2026-09-18T06:40:00+02:00,1.39795,1.39797,1.39784,1.39794,54
2026-09-18T06:45:00+02:00,1.39794,1.39804,1.3979300000000001,1.39798,42
2026-09-18T06:50:00+02:00,1.39798,1.39808,1.3979599999999999,1.39805,59
2026-09-18T06:55:00+02:00,1.39805,1.39821,1.39802,1.39821,38
2026-09-18T07:00:00+02:00,1.39821,1.3983400000000001,1.39821,1.39825,69
2026-09-18T07:05:00+02:00,1.39825,1.39825,1.39807,1.39821,47
2026-09-18T07:10:00+02:00,1.39821,1.39839,1.39821,1.39835,56
2026-09-18T07:15:00+02:00,1.39835,1.39836,1.3982700000000001,1.39833,51
2026-09-18T07:20:00+02:00,1.39832,1.39859,1.39832,1.39853,71
2026-09-18T07:25:00+02:00,1.39853,1.3986399999999999,1.39852,1.3986399999999999,60
2026-09-18T07:30:00+02:00,1.39865,1.39887,1.39865,1.39882,80
2026-09-18T07:35:00+02:00,1.39882,1.3989500000000001,1.39881,1.39881,58
2026-09-18T07:40:00+02:00,1.39881,1.39894,1.39881,1.39885,66
2026-09-18T07:45:00+02:00,1.39885,1.39901,1.39883,1.39901,61
2026-09-18T07:50:00+02:00,1.399,1.39906,1.39897,1.399,71
