Africa/Johannesburg,Open,High,Low,Close,Volume
2026-02-10T00:00:00+02:00,0.76617,0.7662,0.76613,0.76614,106
2026-02-10T00:15:00+02:00,0.76615,0.76631,0.76611,0.7663,205
2026-02-10T00:30:00+02:00,0.7663,0.76661,0.7663,0.7666,105
2026-02-10T00:45:00+02:00,0.7666,0.76666,0.76618,0.76638,136
2026-02-10T01:00:00+02:00,0.76638,0.76671,0.76638,0.76671,123
2026-02-10T01:15:00+02:00,0.76672,0.76702,0.76663,0.767,151
2026-02-10T01:30:00+02:00,0.767,0.76711,0.7669,0.76695,137
2026-02-10T01:45:00+02:00,0.76695,0.76721,0.76694,0.76698,118
2026-02-10T02:00:00+02:00,0.76701,0.76741,0.76697,0.76734,192
2026-02-10T02:15:00+02:00,0.76734,0.76736,0.7671,0.76722,130
2026-02-10T02:30:00+02:00,0.76722,0.76761,0.76721,0.76755,130
2026-02-10T02:45:00+02:00,0.76755,0.76766,0.76731,0.76739,285
2026-02-10T03:00:00+02:00,0.76738,0.76745,0.7672,0.76733,264
2026-02-10T03:15:00+02:00,0.76734,0.76767,0.76717,0.76758,176
2026-02-10T03:30:00+02:00,0.76759,0.76759,0.76669,0.76692,261
2026-02-10T03:45:00+02:00,0.76693,0.767,0.76664,0.7669,261
2026-02-10T04:00:00+02:00,0.76689,0.7669,0.76662,0.76669,199
2026-02-10T04:15:00+02:00,0.76669,0.76685,0.76664,0.76664,150
2026-02-10T04:30:00+02:00,0.76664,0.7667,0.76652,0.76659,204
2026-02-10T04:45:00+02:00,0.76659,0.76663,0.76615,0.76615,249
2026-02-10T05:00:00+02:00,0.76615,0.76628,0.76588,0.76604,221
2026-02-10T05:15:00+02:00,0.76604,0.76622,0.76596,0.7662,209
2026-02-10T05:30:00+02:00,0.7662,0.7662,0.76567,0.76571,213
2026-02-10T05:45:00+02:00,0.76571,0.76637,0.76564,0.76631,148
2026-02-10T06:00:00+02:00,0.76631,0.76659,0.76621,0.76659,149
2026-02-10T06:15:00+02:00,0.76659,0.76691,0.76653,0.76689,141
2026-02-10T06:30:00+02:00,0.76689,0.76701,0.76665,0.76671,132
2026-02-10T06:45:00+02:00,0.76671,0.76695,0.7667,0.76695,164
2026-02-10T07:00:00+02:00,0.76696,0.76714,0.76691,0.76705,162
2026-02-10T07:15:00+02:00,0.76704,0.76711,0.76683,0.76705,129
2026-02-10T07:30:00+02:00,0.76705,0.76741,0.76696,0.76733,192
2026-02-10T07:45:00+02:00,0.76733,0.76741,0.7671,0.76713,172
2026-02-10T08:00:00+02:00,0.76714,0.76731,0.7668,0.76715,264
2026-02-10T08:15:00+02:00,0.76716,0.7675,0.76702,0.76716,256
2026-02-10T08:30:00+02:00,0.76713,0.76733,0.7669,0.76718,216
2026-02-10T08:45:00+02:00,0.76718,0.76747,0.76717,0.76744,239
