Africa/Johannesburg,Open,High,Low,Close,Volume
2026-02-10T00:00:00+02:00,155.864,155.874,155.649,155.849,92
2026-02-10T00:15:00+02:00,155.852,155.893,155.759,155.85,183
2026-02-10T00:30:00+02:00,155.857,155.898,155.751,155.793,382
2026-02-10T00:45:00+02:00,155.796,155.918,155.76,155.856,355
2026-02-10T01:00:00+02:00,155.863,155.974,155.824,155.945,396
2026-02-10T01:15:00+02:00,155.946,156.079,155.93,156.074,373
2026-02-10T01:30:00+02:00,156.074,156.11,156.053,156.063,321
2026-02-10T01:45:00+02:00,156.063,156.141,156.054,156.124,421
2026-02-10T02:00:00+02:00,156.126,156.225,156.067,156.168,925
2026-02-10T02:15:00+02:00,156.167,156.22,156.145,156.21,618
2026-02-10T02:30:00+02:00,156.209,156.289,156.206,156.217,675
2026-02-10T02:45:00+02:00,156.217,156.28,155.96,155.982,1801
2026-02-10T03:00:00+02:00,155.978,156.0,155.822,155.843,1624
2026-02-10T03:15:00+02:00,155.845,156.057,155.804,156.003,1076
2026-02-10T03:30:00+02:00,156.002,156.033,155.815,155.843,1201
2026-02-10T03:45:00+02:00,155.844,155.863,155.671,155.728,1378
2026-02-10T04:00:00+02:00,155.73,155.805,155.704,155.724,977
2026-02-10T04:15:00+02:00,155.727,155.83,155.719,155.745,695
2026-02-10T04:30:00+02:00,155.745,155.748,155.539,155.588,1194
2026-02-10T04:45:00+02:00,155.584,155.587,155.36,155.366,1575
2026-02-10T05:00:00+02:00,155.37,155.396,155.234,155.274,1391
2026-02-10T05:15:00+02:00,155.274,155.342,155.263,155.322,856
2026-02-10T05:30:00+02:00,155.324,155.334,155.147,155.16,1033
2026-02-10T05:45:00+02:00,155.159,155.334,155.147,155.324,726
2026-02-10T06:00:00+02:00,155.323,155.348,155.251,155.276,773
2026-02-10T06:15:00+02:00,155.277,155.362,155.241,155.292,725
2026-02-10T06:30:00+02:00,155.289,155.325,155.211,155.219,708
2026-02-10T06:45:00+02:00,155.22,155.265,155.133,155.26,814
2026-02-10T07:00:00+02:00,155.257,155.27,155.172,155.172,644
2026-02-10T07:15:00+02:00,155.174,155.198,155.082,155.12,753
2026-02-10T07:30:00+02:00,155.12,155.254,155.1,155.214,710
2026-02-10T07:45:00+02:00,155.216,155.321,155.185,155.301,819
2026-02-10T08:00:00+02:00,155.304,155.382,155.273,155.313,1057
2026-02-10T08:15:00+02:00,155.316,155.395,155.316,155.387,852
2026-02-10T08:30:00+02:00,155.39,155.441,155.298,155.36,640
2026-02-10T08:45:00+02:00,155.36,155.447,155.327,155.407,742
2026-02-10T09:00:00+02:00,155.41,155.416,155.278,155.387,995
2026-02-10T09:15:00+02:00,155.389,155.473,155.316,155.459,571
2026-02-10T09:30:00+02:00,155.458,155.527,155.422,155.526,757
2026-02-10T09:45:00+02:00,155.525,155.607,155.504,155.555,1070
2026-02-10T10:00:00+02:00,155.558,155.632,155.509,155.541,1182
2026-02-10T10:15:00+02:00,155.544,155.595,155.485,155.529,829
2026-02-10T10:30:00+02:00,155.529,155.558,155.498,155.516,737
2026-02-10T10:45:00+02:00,155.516,155.581,155.506,155.548,795
2026-02-10T11:00:00+02:00,155.548,155.55,155.344,155.356,945
2026-02-10T11:15:00+02:00,155.356,155.455,155.286,155.308,968
2026-02-10T11:30:00+02:00,155.308,155.338,155.281,155.3,870
2026-02-10T11:45:00+02:00,155.3,155.374,155.242,155.282,833
2026-02-10T12:00:00+02:00,155.282,155.282,155.164,155.165,899
2026-02-10T12:15:00+02:00,155.167,155.265,155.107,155.223,862
2026-02-10T12:30:00+02:00,155.223,155.239,155.052,155.055,828
2026-02-10T12:45:00+02:00,155.056,155.15,155.044,155.135,723
2026-02-10T13:00:00+02:00,155.135,155.23,155.105,155.214,699
2026-02-10T13:15:00+02:00,155.211,155.25,155.162,155.237,585
2026-02-10T13:30:00+02:00,155.236,155.298,155.222,155.274,566
2026-02-10T13:45:00+02:00,155.273,155.299,155.252,155.265,468
2026-02-10T14:00:00+02:00,155.263,155.274,155.175,155.257,752
2026-02-10T14:15:00+02:00,155.258,155.259,155.15,155.17,783
2026-02-10T14:30:00+02:00,155.168,155.169,155.062,155.159,818
2026-02-10T14:45:00+02:00,155.16,155.305,155.159,155.173,1281
2026-02-10T15:00:00+02:00,155.175,155.227,155.071,155.076,1326
2026-02-10T15:15:00+02:00,155.078,155.164,155.044,155.114,873
2026-02-10T15:30:00+02:00,155.112,155.113,154.749,154.882,2394
2026-02-10T15:45:00+02:00,154.885,154.952,154.722,154.753,1743
2026-02-10T16:00:00+02:00,154.751,154.794,154.619,154.652,1539
2026-02-10T16:15:00+02:00,154.652,154.654,154.377,154.416,1838
2026-02-10T16:30:00+02:00,154.413,154.463,154.209,154.321,2108
2026-02-10T16:45:00+02:00,154.321,154.425,154.26,154.388,1880
2026-02-10T17:00:00+02:00,154.39,154.45,154.257,154.4,1715
2026-02-10T17:15:00+02:00,154.399,154.424,154.284,154.329,1551
2026-02-10T17:30:00+02:00,154.329,154.461,154.164,154.201,1881
2026-02-10T17:45:00+02:00,154.197,154.306,154.066,154.205,3012
2026-02-10T18:00:00+02:00,154.202,154.271,154.08,154.144,1753
2026-02-10T18:15:00+02:00,154.142,154.258,154.049,154.206,1244
2026-02-10T18:30:00+02:00,154.202,154.246,154.095,154.134,1097
2026-02-10T18:45:00+02:00,154.134,154.326,154.129,154.284,908
2026-02-10T19:00:00+02:00,154.282,154.311,154.187,154.187,647
2026-02-10T19:15:00+02:00,154.187,154.212,154.152,154.18,671
2026-02-10T19:30:00+02:00,154.178,154.354,154.171,154.347,873
2026-02-10T19:45:00+02:00,154.348,154.417,154.348,154.374,667
2026-02-10T20:00:00+02:00,154.374,154.435,154.364,154.426,508
