Africa/Johannesburg,Open,High,Low,Close,Volume
2026-05-25T00:00:00+02:00,4545.376,4557.496,4543.319,4554.882,3724
2026-05-25T00:15:00+02:00,4555.064,4556.406,4548.759,4552.118,2439
2026-05-25T00:30:00+02:00,4552.052,4560.798,4551.811,4558.082,1829
2026-05-25T00:45:00+02:00,4558.163,4565.444,4557.845,4565.132,1473
2026-05-25T01:00:00+02:00,4565.076,4576.546,4565.055,4574.259,1699
2026-05-25T01:15:00+02:00,4574.298,4578.236,4573.490,4575.056,1406
2026-05-25T01:30:00+02:00,4575.102,4579.984,4574.849,4577.020,1455
2026-05-25T01:45:00+02:00,4577.050,4578.346,4565.621,4567.100,1849
2026-05-25T02:00:00+02:00,4567.126,4575.602,4565.939,4572.695,3419
2026-05-25T02:15:00+02:00,4572.559,4575.586,4569.811,4572.483,2457
2026-05-25T02:30:00+02:00,4572.399,4575.486,4570.673,4571.301,2083
2026-05-25T02:45:00+02:00,4571.266,4579.774,4565.920,4569.191,3326
2026-05-25T03:00:00+02:00,4569.249,4576.326,4560.315,4565.470,6610
2026-05-25T03:15:00+02:00,4565.414,4575.464,4562.187,4573.430,3717
2026-05-25T03:30:00+02:00,4573.197,4574.859,4563.297,4563.515,2815
2026-05-25T03:45:00+02:00,4563.453,4567.100,4560.052,4562.917,2962
2026-05-25T04:00:00+02:00,4562.568,4568.382,4561.118,4562.185,2732
2026-05-25T04:15:00+02:00,4562.228,4563.458,4558.747,4562.672,1925
2026-05-25T04:30:00+02:00,4562.727,4569.439,4561.494,4569.299,2877
2026-05-25T04:45:00+02:00,4569.380,4570.295,4559.530,4561.150,2477
2026-05-25T05:00:00+02:00,4561.500,4564.538,4560.395,4562.963,2373
2026-05-25T05:15:00+02:00,4563.002,4564.312,4560.156,4560.814,1987
2026-05-25T05:30:00+02:00,4560.880,4564.084,4558.042,4558.644,2014
2026-05-25T05:45:00+02:00,4558.545,4561.360,4556.704,4559.571,1617
2026-05-25T06:00:00+02:00,4559.792,4562.657,4559.223,4561.023,1365
2026-05-25T06:15:00+02:00,4561.081,4566.044,4559.981,4564.932,1391
2026-05-25T06:30:00+02:00,4564.933,4565.384,4559.447,4562.414,2002
2026-05-25T06:45:00+02:00,4562.109,4565.823,4562.048,4564.688,1236
2026-05-25T07:00:00+02:00,4564.633,4566.170,4562.963,4563.689,1398
2026-05-25T07:15:00+02:00,4563.688,4563.774,4554.134,4554.312,1656
2026-05-25T07:30:00+02:00,4554.397,4560.914,4552.662,4556.731,2611
2026-05-25T07:45:00+02:00,4557.001,4557.806,4551.895,4553.619,2091
2026-05-25T08:00:00+02:00,4553.563,4555.803,4550.320,4554.071,2474
2026-05-25T08:15:00+02:00,4553.671,4557.436,4552.082,4554.252,1846
2026-05-25T08:30:00+02:00,4554.310,4557.360,4553.446,4556.079,1733
2026-05-25T08:45:00+02:00,4556.094,4563.343,4555.848,4562.292,2215
2026-05-25T09:00:00+02:00,4562.348,4564.768,4560.628,4560.628,2198
2026-05-25T09:15:00+02:00,4560.867,4561.347,4552.349,4554.527,3487
2026-05-25T09:30:00+02:00,4554.585,4561.599,4554.003,4559.784,2542
2026-05-25T09:45:00+02:00,4559.944,4565.148,4558.511,4564.580,1669
2026-05-25T10:00:00+02:00,4564.580,4565.082,4559.655,4560.917,1653
2026-05-25T10:15:00+02:00,4561.151,4561.271,4553.718,4555.017,1845
2026-05-25T10:30:00+02:00,4555.008,4558.014,4553.247,4554.693,1487
2026-05-25T10:45:00+02:00,4554.728,4556.595,4553.473,4556.231,1315
2026-05-25T11:00:00+02:00,4555.925,4558.500,4554.852,4555.299,1143
2026-05-25T11:15:00+02:00,4555.554,4559.096,4555.302,4558.675,1059
2026-05-25T11:30:00+02:00,4558.689,4566.132,4558.235,4565.547,2109
2026-05-25T11:45:00+02:00,4565.520,4569.003,4564.402,4567.517,1469
2026-05-25T12:00:00+02:00,4567.503,4572.550,4567.405,4571.699,1502
2026-05-25T12:15:00+02:00,4571.769,4573.628,4569.696,4570.697,1529
2026-05-25T12:30:00+02:00,4570.698,4573.028,4568.404,4570.156,1695
2026-05-25T12:45:00+02:00,4570.130,4572.124,4568.639,4568.758,1104
2026-05-25T13:00:00+02:00,4568.818,4572.650,4567.497,4571.923,1108
2026-05-25T13:15:00+02:00,4571.964,4575.232,4569.490,4571.797,1617
2026-05-25T13:30:00+02:00,4571.739,4576.254,4571.504,4574.614,1626
2026-05-25T13:45:00+02:00,4574.341,4577.064,4569.376,4569.376,1570
2026-05-25T14:00:00+02:00,4569.470,4569.574,4555.934,4556.124,3224
2026-05-25T14:15:00+02:00,4556.358,4560.768,4552.816,4560.338,2677
2026-05-25T14:30:00+02:00,4560.393,4569.976,4559.753,4566.457,2263
2026-05-25T14:45:00+02:00,4566.461,4568.761,4563.849,4567.792,1870
2026-05-25T15:00:00+02:00,4567.847,4571.465,4561.660,4564.151,2899
2026-05-25T15:15:00+02:00,4564.367,4564.517,4560.407,4561.607,1880
2026-05-25T15:30:00+02:00,4561.845,4565.440,4561.453,4565.161,1640
2026-05-25T15:45:00+02:00,4564.912,4565.351,4560.052,4563.305,1697
2026-05-25T16:00:00+02:00,4562.941,4569.903,4562.261,4567.465,1989
2026-05-25T16:15:00+02:00,4567.428,4570.692,4567.073,4567.945,1425
2026-05-25T16:30:00+02:00,4567.889,4568.620,4564.852,4567.139,1528
2026-05-25T16:45:00+02:00,4567.129,4569.010,4565.262,4566.975,1821
2026-05-25T17:00:00+02:00,4566.694,4573.410,4565.479,4570.117,2966
