Etc/UTC,Open,High,Low,Close,Volume
2026-06-12T00:00:00+00:00,4219.558,4222.115,4212.335,4218.905,209040
2026-06-12T00:05:00+00:00,4218.355,4225.435,4215.288,4216.825,235140
2026-06-12T00:10:00+00:00,4216.865,4218.585,4215.085,4216.635,194660
2026-06-12T00:15:00+00:00,4216.565,4216.695,4206.905,4216.175,231030
2026-06-12T00:20:00+00:00,4216.235,4224.125,4214.745,4223.745,172100
2026-06-12T00:25:00+00:00,4223.785,4230.205,4219.875,4220.145,215110
2026-06-12T00:30:00+00:00,4220.115,4228.585,4219.615,4221.155,182130
2026-06-12T00:35:00+00:00,4221.175,4223.795,4213.925,4214.535,164820
2026-06-12T00:40:00+00:00,4214.565,4214.735,4202.255,4203.645,181710
2026-06-12T00:45:00+00:00,4203.625,4207.805,4200.905,4201.715,187350
2026-06-12T00:50:00+00:00,4201.745,4205.255,4200.368,4200.518,193590
2026-06-12T00:55:00+00:00,4200.575,4208.345,4200.355,4208.285,201640
2026-06-12T01:00:00+00:00,4208.225,4211.051,4183.755,4184.335,344080
2026-06-12T01:05:00+00:00,4184.355,4193.325,4182.645,4192.945,274500
2026-06-12T01:10:00+00:00,4193.025,4193.115,4184.535,4186.875,267300
2026-06-12T01:15:00+00:00,4186.875,4193.585,4185.535,4188.975,251430
2026-06-12T01:20:00+00:00,4188.925,4192.135,4187.015,4189.315,247980
2026-06-12T01:25:00+00:00,4189.355,4189.665,4178.965,4180.765,238890
2026-06-12T01:30:00+00:00,4180.645,4186.425,4176.625,4179.705,304710
2026-06-12T01:35:00+00:00,4179.815,4180.455,4171.188,4178.855,251520
2026-06-12T01:40:00+00:00,4178.825,4183.525,4176.455,4179.235,256040
2026-06-12T01:45:00+00:00,4179.195,4191.335,4179.115,4191.255,240500
2026-06-12T01:50:00+00:00,4191.265,4191.265,4185.875,4186.115,180640
2026-06-12T01:55:00+00:00,4186.145,4190.025,4183.945,4186.495,172530
2026-06-12T02:00:00+00:00,4186.318,4194.095,4183.505,4190.935,215260
2026-06-12T02:05:00+00:00,4190.985,4197.445,4189.775,4197.175,195580
2026-06-12T02:10:00+00:00,4197.065,4199.805,4193.665,4193.715,159660
2026-06-12T02:15:00+00:00,4193.815,4194.295,4190.725,4192.605,130620
2026-06-12T02:20:00+00:00,4192.645,4193.325,4189.795,4190.935,115110
2026-06-12T02:25:00+00:00,4191.005,4191.305,4186.415,4188.285,122460
2026-06-12T02:30:00+00:00,4188.265,4189.215,4182.605,4182.715,194310
2026-06-12T02:35:00+00:00,4182.915,4193.008,4182.485,4188.825,158560
2026-06-12T02:40:00+00:00,4188.955,4190.275,4184.205,4186.015,168850
2026-06-12T02:45:00+00:00,4185.975,4191.005,4183.375,4190.375,166240
2026-06-12T02:50:00+00:00,4190.395,4192.275,4187.458,4188.525,158400
2026-06-12T02:55:00+00:00,4188.555,4193.525,4187.315,4191.365,141990
2026-06-12T03:00:00+00:00,4191.295,4196.015,4189.385,4191.645,171350
2026-06-12T03:05:00+00:00,4191.605,4195.315,4190.455,4192.575,114430
2026-06-12T03:10:00+00:00,4192.545,4195.905,4191.135,4193.745,120900
2026-06-12T03:15:00+00:00,4193.585,4201.375,4193.475,4195.965,180130
2026-06-12T03:20:00+00:00,4195.965,4199.095,4192.855,4197.345,158770
2026-06-12T03:25:00+00:00,4197.505,4203.555,4196.545,4203.235,187280
2026-06-12T03:30:00+00:00,4203.445,4204.415,4198.925,4203.525,204200
2026-06-12T03:35:00+00:00,4203.545,4204.765,4200.945,4201.845,165030
2026-06-12T03:40:00+00:00,4201.825,4204.815,4198.625,4199.015,120940
2026-06-12T03:45:00+00:00,4198.858,4199.265,4195.195,4197.165,150170
2026-06-12T03:50:00+00:00,4197.195,4200.865,4196.115,4200.345,117420
2026-06-12T03:55:00+00:00,4200.315,4201.285,4196.435,4196.885,101820
2026-06-12T04:00:00+00:00,4196.935,4200.815,4192.555,4196.885,107400
2026-06-12T04:05:00+00:00,4196.835,4197.115,4191.825,4195.915,100210
2026-06-12T04:10:00+00:00,4196.085,4196.415,4191.795,4194.095,93060
2026-06-12T04:15:00+00:00,4194.035,4195.435,4190.165,4191.985,87370
2026-06-12T04:20:00+00:00,4191.995,4193.315,4190.485,4193.035,90000
2026-06-12T04:25:00+00:00,4192.965,4194.025,4191.525,4192.525,80980
2026-06-12T04:30:00+00:00,4192.565,4196.975,4191.645,4195.415,92880
2026-06-12T04:35:00+00:00,4195.385,4198.055,4193.315,4195.105,117690
2026-06-12T04:40:00+00:00,4195.125,4197.025,4192.685,4193.215,90510
2026-06-12T04:45:00+00:00,4193.365,4194.085,4189.785,4190.715,107940
2026-06-12T04:50:00+00:00,4190.695,4192.695,4189.925,4192.075,114600
2026-06-12T04:55:00+00:00,4192.035,4192.785,4189.345,4189.725,84180
2026-06-12T05:00:00+00:00,4189.715,4192.825,4187.015,4187.605,154390
2026-06-12T05:05:00+00:00,4187.605,4190.235,4184.845,4184.875,135950
2026-06-12T05:10:00+00:00,4184.795,4189.775,4181.758,4188.375,185480
2026-06-12T05:15:00+00:00,4188.545,4189.135,4184.595,4185.685,140550
2026-06-12T05:20:00+00:00,4185.755,4188.935,4185.715,4186.715,190970
2026-06-12T05:25:00+00:00,4186.695,4189.295,4185.648,4186.885,220830
2026-06-12T05:30:00+00:00,4186.975,4187.555,4177.865,4180.055,275580
2026-06-12T05:35:00+00:00,4179.975,4179.975,4172.255,4174.745,264790
2026-06-12T05:40:00+00:00,4174.855,4180.935,4174.135,4180.275,261550
2026-06-12T05:45:00+00:00,4180.315,4180.805,4175.905,4178.985,199200
2026-06-12T05:50:00+00:00,4179.305,4179.865,4172.625,4175.095,259890
2026-06-12T05:55:00+00:00,4174.915,4176.675,4170.575,4173.135,218540
2026-06-12T06:00:00+00:00,4173.065,4182.975,4173.005,4180.965,221160
2026-06-12T06:05:00+00:00,4180.855,4184.025,4178.515,4181.475,193150
2026-06-12T06:10:00+00:00,4181.425,4185.315,4181.135,4182.515,174470
2026-06-12T06:15:00+00:00,4182.635,4182.905,4179.215,4180.375,173600
2026-06-12T06:20:00+00:00,4180.355,4182.485,4178.605,4180.015,161380
2026-06-12T06:25:00+00:00,4179.995,4182.345,4179.055,4181.745,142890
2026-06-12T06:30:00+00:00,4181.695,4182.295,4175.295,4177.215,179560
2026-06-12T06:35:00+00:00,4177.235,4181.075,4175.655,4177.515,163170
2026-06-12T06:40:00+00:00,4177.535,4178.625,4172.035,4176.195,161350
2026-06-12T06:45:00+00:00,4176.195,4177.395,4173.995,4176.055,161280
2026-06-12T06:50:00+00:00,4176.085,4180.615,4175.945,4178.185,155430
2026-06-12T06:55:00+00:00,4178.135,4184.525,4176.975,4183.875,157600
2026-06-12T07:00:00+00:00,4183.845,4184.485,4175.885,4178.115,168860
2026-06-12T07:05:00+00:00,4178.095,4181.745,4177.435,4180.605,130110
2026-06-12T07:10:00+00:00,4180.535,4182.615,4177.495,4178.075,157630
2026-06-12T07:15:00+00:00,4178.045,4178.775,4173.865,4177.135,155950
2026-06-12T07:20:00+00:00,4177.135,4178.945,4175.345,4177.965,121920
2026-06-12T07:25:00+00:00,4177.965,4179.815,4173.655,4173.985,120090
2026-06-12T07:30:00+00:00,4173.925,4175.645,4169.955,4173.655,146100
2026-06-12T07:35:00+00:00,4173.945,4179.245,4173.878,4178.465,152080
2026-06-12T07:40:00+00:00,4178.535,4184.335,4178.515,4182.775,130440
2026-06-12T07:45:00+00:00,4182.755,4183.495,4174.285,4175.045,133180
2026-06-12T07:50:00+00:00,4175.005,4178.085,4173.735,4175.475,132670
